Patched jax.experimental.layout.DeviceLocalLayout -> <class 'jax._src.layout.Layout'>
Initial shape from: /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/cont3_lambda_100000_10_100000_100_1/checkpoint_10000
Use pretrained data as initial condition...
[biconcave] pretrain=checkpoint lambdas=(100000,10,100000,100,1,1) -> /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/test_lambda_100000_10_100000_100_1_1
[make_train_step] mode = curv+lapH+forc
  use_curv = True
  use_lapH = True
  use_forc = True
  0%|          | 0/10000 [00:00<?, ?it/s]
step=1 loss=379546752.0 ld=0.017243053764104843 lp=248.56051635742188 ls=0.00024238228797912598 lc=13.740915298461914 ll=259.2055358886719 lf=379540896.0 grad_norm=37841833984.0
step=102 loss=4.620561207567319e+17 ld=0.04219648614525795 lp=269.53558349609375 ls=0.003072167979553342 lc=26.269058227539062 ll=4246.77685546875 lf=4.620561207567319e+17 grad_norm=inf
step=103 loss=4.571727773009183e+17 ld=0.042197830975055695 lp=269.62249755859375 ls=0.003071926534175873 lc=26.267648696899414 ll=4246.72021484375 lf=4.571727773009183e+17 grad_norm=inf
step=104 loss=4.5261403029346714e+17 ld=0.04220917075872421 lp=269.7207336425781 ls=0.003072991268709302 lc=26.269834518432617 ll=4249.5712890625 lf=4.5261403029346714e+17 grad_norm=inf
step=105 loss=4.472271792316088e+17 ld=0.0422150082886219 lp=269.7974853515625 ls=0.003073523985221982 lc=26.276708602905273 ll=4250.52392578125 lf=4.472271792316088e+17 grad_norm=inf
step=106 loss=4.432212116950221e+17 ld=0.04222160205245018 lp=269.89288330078125 ls=0.0030741302762180567 lc=26.274089813232422 ll=4250.84228515625 lf=4.432212116950221e+17 grad_norm=inf
step=107 loss=4.384565467755315e+17 ld=0.042226988822221756 lp=269.98272705078125 ls=0.0030748730059713125 lc=26.277448654174805 ll=4254.50927734375 lf=4.384565467755315e+17 grad_norm=inf
step=108 loss=4.336410638029947e+17 ld=0.042231928557157516 lp=270.0628662109375 ls=0.0030754469335079193 lc=26.280790328979492 ll=4254.65771484375 lf=4.336410638029947e+17 grad_norm=inf
step=109 loss=4.298640695628923e+17 ld=0.04223943129181862 lp=270.1466979980469 ls=0.0030762795358896255 lc=26.282011032104492 ll=4256.1103515625 lf=4.298640695628923e+17 grad_norm=inf
step=110 loss=4.2488785173426995e+17 ld=0.04224355146288872 lp=270.2305908203125 ls=0.0030766359996050596 lc=26.28185272216797 ll=4258.35693359375 lf=4.2488785173426995e+17 grad_norm=inf
step=111 loss=4.2103753381249024e+17 ld=0.04224686324596405 lp=270.3198547363281 ls=0.00307689281180501 lc=26.28291893005371 ll=4259.0654296875 lf=4.2103753381249024e+17 grad_norm=inf
step=112 loss=4.164105827243786e+17 ld=0.042249664664268494 lp=270.410888671875 ls=0.0030771733727306128 lc=26.287437438964844 ll=4259.8447265625 lf=4.164105827243786e+17 grad_norm=inf
step=113 loss=4.1265331097409946e+17 ld=0.04225393384695053 lp=270.49163818359375 ls=0.0030776665080338717 lc=26.290536880493164 ll=4260.3369140625 lf=4.1265331097409946e+17 grad_norm=inf
step=114 loss=4.085530946751693e+17 ld=0.04225922003388405 lp=270.5809326171875 ls=0.003078323556110263 lc=26.29197120666504 ll=4262.68798828125 lf=4.085530946751693e+17 grad_norm=inf
step=115 loss=4.041705787658076e+17 ld=0.04226362332701683 lp=270.6649475097656 ls=0.0030788518488407135 lc=26.299346923828125 ll=4266.5361328125 lf=4.041705787658076e+17 grad_norm=inf
step=116 loss=4.011310475902976e+17 ld=0.042269036173820496 lp=270.7413024902344 ls=0.003079596906900406 lc=26.300323486328125 ll=4268.5576171875 lf=4.011310475902976e+17 grad_norm=inf
step=117 loss=3.965334053590139e+17 ld=0.042273081839084625 lp=270.8368835449219 ls=0.0030800264794379473 lc=26.297550201416016 ll=4265.40576171875 lf=3.965334053590139e+17 grad_norm=inf
step=118 loss=3.927457939597558e+17 ld=0.04227839782834053 lp=270.92132568359375 ls=0.003080579685047269 lc=26.303817749023438 ll=4269.05419921875 lf=3.927457939597558e+17 grad_norm=inf
step=119 loss=3.892305522065408e+17 ld=0.04228142648935318 lp=271.000732421875 ls=0.003080922644585371 lc=26.30634880065918 ll=4271.66064453125 lf=3.892305522065408e+17 grad_norm=inf
step=120 loss=3.8544792296934605e+17 ld=0.04228879511356354 lp=271.0865783691406 ls=0.003081939183175564 lc=26.308412551879883 ll=4271.75048828125 lf=3.8544792296934605e+17 grad_norm=inf
step=121 loss=3.8169144149304934e+17 ld=0.04229332506656647 lp=271.1721496582031 ls=0.003082563867792487 lc=26.314977645874023 ll=4274.388671875 lf=3.8169144149304934e+17 grad_norm=inf
